Model,DPO2024
Firmware Version,1.25

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,2e-05,
Sample Interval,2e-09,
Filter Frequency,2e+08,
Record Length,100000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,50,
Label,,
TIME,CH1,CH1 Peak Detect
-9.87200e-05,-9,-9
-9.87180e-05,-9,-9
-9.87160e-05,-9,-9
-9.87140e-05,-9,-9
-9.87120e-05,-7,-9
-9.87100e-05,-9,-7
-9.87080e-05,-9,-9
-9.87060e-05,-9,-7
-9.87040e-05,-9,-9
-9.87020e-05,-9,-7
-9.87000e-05,-9,-9
-9.86980e-05,-9,-9
-9.86960e-05,-9,-9
-9.86940e-05,-9,-9
-9.86920e-05,-9,-9
-9.86900e-05,-9,-7
-9.86880e-05,-7,-9
-9.86860e-05,-9,-7
-9.86840e-05,-9,-9
-9.86820e-05,-9,-7
-9.86800e-05,-9,-9
-9.86780e-05,-9,-9
-9.86760e-05,-9,-9
-9.86740e-05,-9,-7
-9.86720e-05,-9,-9
-9.86700e-05,-9,-9
-9.86680e-05,-9,-9
-9.86660e-05,-9,-9
-9.86640e-05,-9,-9
-9.86620e-05,-9,-7
-9.86600e-05,-9,-9
-9.86580e-05,-9,-7
-9.86560e-05,-9,-9
-9.86540e-05,-9,-7
-9.86520e-05,-9,-9
-9.86500e-05,-9,-7
-9.86480e-05,-9,-9
-9.86460e-05,-9,-7
-9.86440e-05,-9,-9
-9.86420e-05,-9,-7
-9.86400e-05,-7,-7
-9.86380e-05,-7,-7
-9.86360e-05,-9,-9
-9.86340e-05,-9,-9
-9.86320e-05,-9,-9
-9.86300e-05,-9,-9
-9.86280e-05,-9,-9
-9.86260e-05,-9,-9
-9.86240e-05,-9,-9
-9.86220e-05,-9,-9
-9.86200e-05,-9,-9
-9.86180e-05,-9,-7
-9.86160e-05,-9,-9
-9.86140e-05,-7,-7
-9.86120e-05,-9,-9
-9.86100e-05,-7,-7
-9.86080e-05,-9,-9
-9.86060e-05,-9,-7
-9.86040e-05,-9,-9
-9.86020e-05,-9,-9
-9.86000e-05,-9,-9
-9.85980e-05,-9,-9
-9.85960e-05,-9,-9
-9.85940e-05,-9,-9
-9.85920e-05,-9,-9
-9.85900e-05,-9,-9
-9.85880e-05,-9,-9
-9.85860e-05,-9,-9
-9.85840e-05,-9,-9
-9.85820e-05,-9,-9
-9.85800e-05,-9,-9
-9.85780e-05,-9,-9
-9.85760e-05,-9,-9
-9.85740e-05,-9,-9
-9.85720e-05,-9,-9
-9.85700e-05,-9,-9
-9.85680e-05,-9,-9
-9.85660e-05,-9,-9
-9.85640e-05,-9,-9
-9.85620e-05,-9,-9
-9.85600e-05,-9,-9
-9.85580e-05,-9,-7
-9.85560e-05,-9,-9
-9.85540e-05,-9,-7
-9.85520e-05,-7,-9
-9.85500e-05,-9,-7
-9.85480e-05,-9,-9
-9.85460e-05,-9,-9
-9.85440e-05,-9,-9
-9.85420e-05,-9,-9
-9.85400e-05,-9,-9
-9.85380e-05,-9,-9
-9.85360e-05,-9,-9
-9.85340e-05,-9,-7
-9.85320e-05,-9,-9
